iter	Passed	Remaining
0	1	184
1	3	156
2	3	126
3	4	110
4	5	96
5	5	87
6	6	80
7	6	75
8	7	73
9	7	69
10	8	67
11	8	65
12	9	65
13	10	63
14	10	61
15	11	60
16	12	59
17	12	58
18	14	61
19	15	60
20	15	58
21	15	56
22	16	54
23	16	53
24	17	51
25	17	50
26	18	48
27	18	47
28	19	47
29	20	46
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	23	42
36	24	41
37	25	40
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	34
45	29	34
46	29	33
47	31	34
48	32	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	42	22
65	42	21
66	43	21
67	43	20
68	44	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	55	9
86	56	8
87	57	7
88	57	7
89	58	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	63	0
